videoId,artists,title,tempo,key,mode,minor_score,bittersweet,key_strength,percussive,energy_rms,dynamics,brightness,rolloff,bandwidth,flatness,zcr,contrast,onset_rate,pulse_clarity,mfcc1,mfcc2,mfcc3,mfcc4,status
t0N0dZTsn-w,Linguine,Bad Apple but it's a 3Blue1Brown video,136.0,D#,minor,0.584,0.832,0.413,0.213,0.1088,0.48,2459.2,5591.9,2729.4,0.0199,0.0787,21.775,2.05,0.792,75.94,14.38,29.09,12.92,ok
QofNyoUQZO4,"Mari Samuelsen, Konzerthausorchester Berlin, Jonathan Stockhammer",Richter: November (Single Edit),123.0,A,minor,0.736,0.528,0.762,0.031,0.1124,0.578,1960.7,3653.0,1848.1,0.0021,0.1145,27.204,6.84,0.923,94.84,-45.29,23.33,-16.43,ok
94-PAIMDhaQ,Ludovico Einaudi,Einaudi: Una Mattina,129.2,A,minor,0.786,0.428,0.86,0.015,0.017,0.589,733.8,1168.9,1073.4,0.0001,0.0395,26.633,2.89,0.625,176.51,9.62,1.71,16.54,ok
rKqht5L45sI,"Убей меня, Эйс!",Танцуй,143.6,C#,minor,0.509,0.982,0.572,0.239,0.2436,0.394,2720.6,5784.4,2675.7,0.0321,0.1183,21.725,4.8,0.841,67.52,-2.64,27.43,5.05,ok
gFYodq_VOoU,конец солнечных дней,мне никогда не было грустно без тебя,83.4,D#,minor,0.663,0.674,0.718,0.279,0.2501,0.315,2438.7,4970.0,2518.2,0.0229,0.1044,22.151,4.39,0.883,80.23,-10.37,44.42,21.52,ok
BC_0F9EcL2c,конец солнечных дней,куда катится моя голова?,92.3,B,minor,0.714,0.572,0.657,0.224,0.2068,0.403,2143.1,4392.4,2241.1,0.016,0.0905,22.781,4.14,0.829,91.14,-10.4,31.51,5.94,ok
iIs-6v9wDJc,конец солнечных дней,финала не будет,92.3,A,major,0.342,0.684,0.784,0.302,0.1848,0.285,2225.9,4678.1,2395.4,0.02,0.1052,22.705,3.3,0.742,98.09,-2.48,35.0,4.76,ok
RTn2b_sRm9U,ЩЕНКИ,"Уходи, если хочешь",129.2,E,major,0.485,0.97,0.79,0.286,0.1607,0.274,2391.3,5138.0,2488.0,0.0295,0.1068,21.262,2.91,0.784,93.8,5.01,34.05,0.33,ok
-ynHzJTOdZg,конец солнечных дней,мне всё ещё жаль,136.0,F,minor,0.586,0.828,0.76,0.221,0.264,0.313,1989.7,4123.1,2219.5,0.0171,0.0863,22.253,2.58,0.825,104.52,-8.25,35.09,14.54,ok
VFIHvv3f4FE,конец солнечных дней,последние надежды,92.3,C,major,0.398,0.796,0.501,0.308,0.281,0.306,1980.4,3943.5,2092.6,0.0105,0.0969,22.471,5.09,0.9,109.25,-25.8,42.87,11.01,ok
HuH1JXtyYpI,конец солнечных дней,последний забег / метель,161.5,F#,minor,0.523,0.954,0.856,0.224,0.1516,0.38,1520.6,3075.1,1676.6,0.005,0.0773,24.35,2.69,0.774,149.43,-34.19,24.38,-5.2,ok
KuuEs0oVVS8,Codcast Channel,Silent Love,89.1,F,major,0.46,0.92,0.676,0.174,0.1534,0.301,2174.9,5357.7,2702.5,0.0144,0.0803,21.734,4.39,0.833,102.43,18.66,13.42,10.76,ok
W2Rugts42AU,ssshhhiiittt!,Еще один день,161.5,B,minor,0.705,0.59,0.615,0.2,0.1883,0.185,3105.1,6576.8,2872.0,0.0568,0.1479,21.496,2.66,0.88,69.13,9.33,24.76,1.53,ok
ixjDLdvoC5Q,Violetta Sokolova,Четыре тридцать,99.4,E,major,0.491,0.982,0.679,0.225,0.2958,0.298,2382.1,5100.6,2518.1,0.0267,0.1068,22.014,2.25,0.843,91.95,4.02,27.72,6.13,ok
tMx3V5iVTnw,Автоспорт,Песня о привязанности,103.4,F#,minor,0.505,0.99,0.719,0.218,0.2842,0.103,2115.7,4168.7,2179.1,0.0176,0.1123,21.832,3.04,0.939,103.88,-24.81,32.1,3.54,ok
XZkJIc4jz-E,"Убей меня, Эйс!",Лица,152.0,C,minor,0.527,0.946,0.712,0.147,0.2497,0.179,2078.0,4464.9,2276.9,0.0151,0.0766,23.175,4.19,0.746,101.1,-5.4,36.88,10.47,ok
RSr1-bn66FI,Пасош,Когда тебе грустно,80.7,E,minor,0.833,0.334,0.667,0.369,0.1844,0.333,2035.7,4249.3,2160.7,0.0184,0.0922,22.235,4.23,0.789,105.59,-20.0,23.16,-3.82,ok
FBaujj4i8gM,две тысячи ярдов,верните в моду любовь,89.1,C#,minor,0.504,0.992,0.781,0.232,0.2027,0.372,2775.7,5875.5,2754.6,0.0277,0.1208,22.851,4.82,0.822,75.2,8.95,26.91,9.44,ok
FXEeOQgWkns,"Убей меня, Эйс!",Ты так хотела,123.0,D,minor,0.716,0.568,0.754,0.201,0.1947,0.264,2158.1,4491.3,2323.7,0.0203,0.0899,22.988,4.64,0.841,106.52,-11.02,22.11,13.07,ok
kHs9vUbXaG8,Мимо Вселенной,Три сотни дней,136.0,A,major,0.27,0.54,0.854,0.141,0.2251,0.326,2481.9,5243.7,2584.5,0.0189,0.082,23.125,3.98,0.782,84.96,4.19,29.43,14.44,ok
gJ8-orzM_qA,АПФС перезаливы,Автостопом по фазе сна - Давай поправимся,129.2,E,minor,0.522,0.956,0.799,0.196,0.1391,0.585,2016.2,4468.6,2505.2,0.0149,0.0718,22.093,3.89,0.881,110.18,10.4,10.73,13.45,ok
8kTrzTZK4nc,Мимо Вселенной,Меланхолия драйв,129.2,B,minor,0.644,0.712,0.797,0.23,0.1993,0.437,1288.6,2845.2,1809.2,0.0062,0.0356,22.292,4.03,0.836,123.86,30.98,35.97,22.46,ok
s3X-XusLlZM,алёна швец.,первое свидание,172.3,F#,minor,0.795,0.41,0.561,0.371,0.1556,0.708,2058.3,4012.4,2280.0,0.0135,0.0904,23.824,3.52,0.795,106.46,-4.15,6.64,0.65,ok
TWf6s1n8HqM,IVOXYGEN,Skin,161.5,F#,minor,0.712,0.576,0.751,0.256,0.2169,0.325,2054.7,4859.1,2600.4,0.0121,0.0501,22.794,3.46,0.817,104.07,36.83,31.32,15.15,ok
Ama40Tk-_rM,ThxSoMch,Hate.,95.7,F#,major,0.148,0.296,0.682,0.301,0.2423,0.425,2759.3,5815.6,2600.3,0.0792,0.1056,21.017,5.16,0.841,69.58,5.5,17.59,2.88,ok
J7m6OTkWBuU,ThxSoMch,Keep It Tucked,89.1,C,minor,0.786,0.428,0.742,0.258,0.2613,0.326,2631.0,5635.0,2657.1,0.0279,0.0977,22.089,4.86,0.871,78.04,-2.29,24.99,4.77,ok
LHiSYbn2pUU,CUPSIZE,ты любишь танцевать,112.3,D#,minor,0.643,0.714,0.542,0.331,0.2392,0.453,2430.4,4993.5,2357.9,0.0297,0.1139,22.11,3.48,0.755,84.25,-11.33,39.59,-2.27,ok
n-wEvzqdDZg,Weval,Someday,215.3,A#,minor,0.654,0.692,0.356,0.197,0.1632,0.463,1747.3,3862.4,2072.5,0.012,0.0649,21.919,4.3,0.835,125.54,-5.37,25.94,-2.25,ok
nO9aot9RgQc,Max Cooper,Repetition,161.5,D,major,0.399,0.798,0.789,0.11,0.1588,0.268,571.5,902.2,731.4,0.0001,0.0346,22.276,7.98,0.931,231.91,15.38,4.59,6.46,ok
sW-RWCNhcFU,robthebloke,One big fat sound,172.3,F,minor,0.803,0.394,0.855,0.074,0.0739,0.158,1406.8,2931.4,1786.9,0.0038,0.0633,22.664,5.1,0.963,145.76,-5.59,21.75,-1.98,ok
DyqAcyqjjCY,Eyrina Green,"Жил динозавр (анимация EyrinaGreen , песня Soltwine)",112.3,D,minor,0.656,0.688,0.747,0.325,0.1658,0.665,1947.4,4104.0,2046.6,0.1562,0.0862,21.202,3.47,0.757,75.56,-3.82,20.47,-3.55,ok
